time,point
1577443963.379689, [1816.15062132    318.78034856      49.78264008] 
1577443963.4116728, [1952.07395718  -235.76540415    366.94243715] 
1577443963.4449418, [1968.80414689    -74.63214246    315.70092341] 
1577443963.4767046, [1343.31423366  -806.29794543        7.17295891] 
1577443963.5418332, [1342.78945174  -796.59734509    -61.45687607] 
1577443963.5756457, [1366.06932029  -834.10986049        3.39486285] 
1577443963.608685, [1817.03049007    232.3329675      140.58867657] 
1577443963.929776, [1338.60041182  -796.17052243    -62.83396068] 
1577443964.2834587, [1798.52290998    147.67719853    228.29641777] 
1577443964.6146357, [1801.33856007    186.15981839    159.08229478] 
1577443965.2106364, [1954.59113237  -122.24244908    357.60599568] 
1577443965.8270848, [1522.75768864  -959.1748799      498.96572402] 
1577443966.1598423, [1309.21052661  -439.0224201      -72.71554403] 
1577443966.497443, [1842.74660161      72.15785693    163.36751968] 
1577443967.6145113, [1513.13235747  -968.16220079    518.24903154] 
1577443967.969454, [  1517.3797233    -1008.46436789      402.47066108] 
1577443968.3027403, [1246.0988832    -609.16403214    -50.61772279] 
1577443968.6525583, [1485.59000807  -952.90820007    546.01665507] 
1577443969.036743, [1449.59964033  -925.76933408    581.46929324] 
1577443969.3848655, [1248.13693194  -679.83651488      67.72495209] 
1577443969.7210116, [1443.59315588  -930.94505055    579.17622375] 
1577443970.1209316, [1469.19109838  -975.07666823    499.89190135] 
1577443970.5054147, [1432.62287646  -847.78702157    458.53426479] 
1577443970.8560395, [1386.17502394  -757.02041717    513.70319944] 
1577443971.2203968, [1378.59567371  -824.4143142      484.46399416] 
1577443971.5853465, [1342.34334557  -728.89881599    543.30308291] 
1577443971.9459038, [1409.74354326  -826.53193608    527.61306051] 
1577443972.2901547, [  1506.19276423  -1031.81131055      679.96879569] 
1577443972.634135, [1489.47933728  -986.33291736    670.31337673] 
1577443972.9825788, [1508.54323136  -860.4380274      519.35813361] 
1577443973.407631, [1586.3174046    -801.98468015    344.89874077] 
1577443973.7665381, [1574.95868881  -527.65799837    490.8899462  ] 
1577443974.1220016, [  989.39521918  -244.01263361  -175.48139775] 
1577443974.4873424, [1011.40732702  -332.33611595  -186.12331089] 
1577443974.8361824, [  976.55648459  -440.72676824  -220.16648563] 
1577443975.4518971, [  737.24179862  -323.19085965    -96.6017237  ] 
1577443975.8064106, [  639.831197      -539.03335233    -88.48665466] 
1577443976.165457, [  968.46784843    382.18393092  -233.42962075] 
1577443976.830699, [  595.46968805  -261.38785446  -107.74931473] 
1577443977.2002878, [  852.56254608  -563.46254719  -176.39337712] 
1577443977.561228, [  999.77084442  -488.65871435  -228.18348731] 
1577443977.9271288, [  920.1656559    -344.03161491  -204.13233716] 
1577443978.3718865, [  918.79632115  -307.55838877  -179.58677755] 
1577443978.4144976, [  873.08749582  -281.03669518  -170.41348395] 
1577443978.4727051, [  904.71377142  -298.1770603    -170.6382545  ] 
